species,pathways,genes,enzymes,metabolites,conversions,catalysis,publications
Portulaca grandiflora,5,1,3,4,7,7,73
Chrysanthemum x morifolium,5,2,2,7,6,11,25
Digitalis lanata,5,4,9,10,9,9,11
Botryococcus braunii,5,1,2,4,5,5,99
Podophyllum peltatum,5,1,3,4,3,3,40
Delphinium grandiflorum,5,4,4,14,12,14,14
Astragalus bisulcatus,4,1,2,4,5,5,44
Brassica oleracea var. italica,4,2,2,4,5,7,46
Rhodiola rosea,4,1,1,2,4,4,65
Euphorbia lagascae,4,1,3,6,4,4,7
Ipomoea nil,4,1,1,6,6,6,42
Apium graveolens,4,2,5,6,8,8,15
Agapanthus africanus,4,1,1,8,6,6,14
Cistus creticus,4,2,2,4,4,4,50
Tanacetum parthenium,4,3,3,6,6,6,29
Brassica juncea,4,2,2,2,4,8,24
Rubia tinctorum,4,0,1,2,4,4,33
Vigna angularis,4,2,2,8,4,4,37
Cassia,4,0,1,2,4,4,15
Haematococcus lacustris,4,1,1,6,10,10,88
Santalum austrocaledonicum,4,1,1,5,7,7,28
Aloe arborescens,4,4,4,6,4,7,14
Salvia splendens,4,2,2,5,6,6,27
Ipomoea purpurea,4,1,1,6,6,6,42
Hyoscyamus niger,4,2,4,3,4,4,48
Citrus japonica,4,1,1,9,7,7,48
Ajuga reptans,4,2,2,6,6,6,24
Lupinus albus,4,1,2,7,7,7,32
Citrus maxima,4,1,3,8,4,4,46
Santalum album,4,1,1,5,7,7,28
Populus deltoides,4,2,2,8,6,6,53
Phaseolus coccineus,4,2,2,10,10,10,59
Wollastonia biflora,3,0,2,2,2,2,23
Mentha aquatica,3,1,1,2,3,3,19
Cucurbita pepo,3,0,4,7,4,4,31
Quercus rubra,3,0,1,2,3,3,27
Pimpinella,3,0,2,3,3,3,4
Brassica oleracea,3,2,6,6,4,9,31
Quercus robur,3,1,5,6,9,12,27
Senecio,3,0,1,2,3,3,26
Zea luxurians,3,1,1,2,3,3,37
Aquilaria crassna,3,2,2,3,4,8,24
Vitis labrusca,3,1,1,2,3,3,26
Nepenthes alata,3,4,4,3,3,5,19
Linum perenne,3,2,2,6,4,4,23
Allium cepa var. aggregatum,3,1,1,4,3,3,23
Nicotiana plumbaginifolia,3,1,1,3,5,5,69
Lilium longiflorum,3,0,2,2,1,1,39
Coffea arabica,3,6,6,6,7,18,10
Scutellaria baicalensis,3,4,5,5,3,5,23
Raphanus sativus,3,1,8,9,8,8,37
Gossypium arboreum,3,4,4,5,4,6,21
Gossypium hirsutum,3,0,1,2,3,3,41
Zea mays subsp. huehuetenangensis,3,1,1,2,3,3,37
Gentiana triflora,3,4,4,6,11,11,27
Rosa x damascena,3,1,1,6,3,3,8
Pinus radiata,3,1,1,2,3,3,68
Simmondsia chinensis,3,3,3,3,4,4,20
Coleus scutellarioides,3,1,4,9,16,16,44
Ceratodon purpureus,3,2,2,6,6,10,18
Urochloa panicoides,3,0,1,2,3,3,102
Clitoria ternatea,3,0,4,4,6,6,17
Cinnamomum tenuipile,2,1,1,2,2,2,27
Vanilla planifolia,2,3,3,4,4,4,5
Capsicum,2,1,2,3,2,2,36
Lolium perenne,2,2,2,4,3,3,70
Lupinus polyphyllus,2,0,3,5,4,4,14
Bixa orellana,2,3,3,5,5,5,15
Flaveria chlorifolia,2,0,4,6,8,8,78
Oryza sativa Indica Group,2,1,1,2,2,2,31
Picea sitchensis,2,1,1,2,2,2,35
Oxybasis rubra,2,0,1,3,4,4,29
Crocus sativus,2,2,2,7,4,4,18
Zingiber officinale,2,2,2,4,2,2,22
Stevia rebaudiana,2,3,4,8,8,8,27
Desmodium uncinatum,2,1,1,4,2,2,11
Solanum melongena,2,0,1,2,2,2,47
Pimpinella anisum,2,2,2,3,4,4,4
Saccharum officinarum,2,0,3,3,2,2,20
Liquidambar styraciflua,2,1,1,2,2,2,70
Eustoma russellianum,2,1,1,3,2,2,3
Glycine soja,2,2,2,4,2,4,3
Magnolia grandiflora,2,2,2,4,2,2,27
Rosa chinensis,2,4,4,6,4,6,8
Sauromatum venosum,2,1,1,2,2,2,24
Allioideae,2,0,1,2,2,2,21
Mirabilis jalapa,2,1,1,2,2,2,29
Brassica oleracea var. botrytis,2,0,2,2,1,1,33
Prunus serotina,2,3,3,4,4,4,15
Rauvolfia serpentina,2,4,9,13,9,11,13
Atropa belladonna,2,1,1,2,2,2,28
Picea glauca,2,0,1,2,2,2,10
Limnanthes alba,2,2,2,4,2,2,20
Anemone leveillei,2,2,2,4,2,4,6
Lens culinaris,2,0,1,8,5,5,20
Sesamum indicum,2,3,3,6,4,4,18
Silene latifolia,2,0,3,6,3,3,11
Stellaria media,2,0,2,4,4,4,13
Solanum aculeatissimum,2,1,1,2,2,2,47
Calendula officinalis,2,2,3,4,2,4,8
Sanguinaria canadensis,2,0,1,4,2,2,31
Pinus strobus,2,0,1,10,5,5,22
Salvia officinalis,2,0,3,3,2,2,13
Forsythia x intermedia,2,0,2,0,0,0,22
