inchikey,label,n_pw,skeleton,skeleton_match_n,skeleton_match_qid,skeleton_match_ik
KJXSIXMJHKAJOD-LSDHHAIUSA-M,(+)-dihydromyricetin,4,KJXSIXMJHKAJOD,4,Q105142036; Q105142037; Q27103961; Q422305,KJXSIXMJHKAJOD-CABCVRRESA-N; KJXSIXMJHKAJOD-HUUCEWRRSA-N; KJXSIXMJHKAJOD-LSDHHAIUSA-N; KJXSIXMJHKAJOD-UHFFFAOYSA-N
MCTZMXCUYPDYNE-NHSSZETOSA-N,quercetin 3-O-rhamnoside-7-O-glucoside,3,MCTZMXCUYPDYNE,4,Q104398746; Q105161442; Q110183832; Q23418549,MCTZMXCUYPDYNE-AHHFARBASA-N; MCTZMXCUYPDYNE-LWPDZHKTSA-N; MCTZMXCUYPDYNE-NLRXNYMUSA-N; MCTZMXCUYPDYNE-UHFFFAOYSA-N
WTWWJFYJOBVFTF-SQERPHHCSA-L,ternatin C5,3,WTWWJFYJOBVFTF,4,Q105312836; Q110198995; Q27124241; Q27126338,WTWWJFYJOBVFTF-KTEHMMPASA-L; WTWWJFYJOBVFTF-KTEHMMPASA-O; WTWWJFYJOBVFTF-RUJQUQSCSA-O; WTWWJFYJOBVFTF-UHFFFAOYSA-O
NAQGHJTUZRHGAC-LBGUGVGYSA-J,5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole,2,NAQGHJTUZRHGAC,4,Q115966260; Q27125795; Q27465484; Q3502778,NAQGHJTUZRHGAC-PSYSQGJASA-N; NAQGHJTUZRHGAC-UHFFFAOYSA-N; NAQGHJTUZRHGAC-ZZZDFHIKSA-J; NAQGHJTUZRHGAC-ZZZDFHIKSA-N
MBFJCQLVRQZZOV-MRHCINOSSA-K,portulacaxanthin II,2,MBFJCQLVRQZZOV,4,Q105160700; Q110077564; Q110183779; Q27108050,MBFJCQLVRQZZOV-DCAVKYHDSA-N; MBFJCQLVRQZZOV-MRHCINOSSA-N; MBFJCQLVRQZZOV-UHFFFAOYSA-N; MBFJCQLVRQZZOV-ZCIMJVHFSA-N
ZOWHLBOPCIHIHW-AODVQFRNSA-M,gibberellin A₅,2,ZOWHLBOPCIHIHW,4,Q105380745; Q105380746; Q105380747; Q27110166,ZOWHLBOPCIHIHW-KQBHUUJHSA-N; ZOWHLBOPCIHIHW-LUGKBOQRSA-N; ZOWHLBOPCIHIHW-RNJLFBCHSA-N; ZOWHLBOPCIHIHW-UHFFFAOYSA-N
IJEZFJFCQWYKEM-HZDSJJKASA-N,1-18:3-2-16:0-digalactosyldiacylglycerol,2,IJEZFJFCQWYKEM,4,Q105113920; Q105113922; Q105113923; Q105113924,IJEZFJFCQWYKEM-GDVDIDQFSA-N; IJEZFJFCQWYKEM-ITLSJTBUSA-N; IJEZFJFCQWYKEM-KJJVUBFFSA-N; IJEZFJFCQWYKEM-UHFFFAOYSA-N
UQOJAGBSKPHQOG-IUODEOHRSA-N,"(2R,3S)-2,4',5,7-tetrahydroxyisoflavanone",2,UQOJAGBSKPHQOG,4,Q105277366; Q23055380; Q27114126; Q27125930,UQOJAGBSKPHQOG-SWLSCSKDSA-N; UQOJAGBSKPHQOG-UHFFFAOYSA-M; UQOJAGBSKPHQOG-UHFFFAOYSA-N; UQOJAGBSKPHQOG-WFASDCNBSA-N
WSKGRAGZAQRSED-NRRUETGQSA-N,dehydroabietadienol,2,WSKGRAGZAQRSED,4,Q105311914; Q105311915; Q105311917; Q27123468,WSKGRAGZAQRSED-SLFFLAALSA-N; WSKGRAGZAQRSED-UFYCRDLUSA-N; WSKGRAGZAQRSED-UHFFFAOYSA-N; WSKGRAGZAQRSED-XUVXKRRUSA-N
LVVCDOSOKGYQFY-XCRWTIQCSA-M,"9,10-epoxy-10,12Z-octadecadienoate",2,LVVCDOSOKGYQFY,4,Q106038788; Q74418181; Q76507165; Q82643194,LVVCDOSOKGYQFY-IDQNXFEJSA-M; LVVCDOSOKGYQFY-IDQNXFEJSA-N; LVVCDOSOKGYQFY-KKJXIILJSA-N; LVVCDOSOKGYQFY-KRWDZBQOSA-N
XLZUBCUKXQFBKB-JZWLZXDTSA-M,"pelargonidin-3-O-(6""-O-malonyl-β-D-glucoside)",2,XLZUBCUKXQFBKB,4,Q105330588; Q105330589; Q110204668; Q27114738,XLZUBCUKXQFBKB-GRAUSCIISA-O; XLZUBCUKXQFBKB-JZWLZXDTSA-O; XLZUBCUKXQFBKB-PGDPNNLMSA-O; XLZUBCUKXQFBKB-UHFFFAOYSA-O
MYKUKUCHPMASKF-VIFPVBQESA-O,(S)-nornicotine,2,MYKUKUCHPMASKF,4,Q27105207; Q28466251; Q82312031; Q907939,MYKUKUCHPMASKF-DNZPNURCSA-N; MYKUKUCHPMASKF-SECBINFHSA-N; MYKUKUCHPMASKF-UHFFFAOYSA-N; MYKUKUCHPMASKF-VIFPVBQESA-N
AQTZWMJGAOIWFV-VKWYCSODSA-N,"(3R,4R)-3,4-bis(4-hydroxy-3-methoxybenzyl)tetrahydro-2-furanol",2,AQTZWMJGAOIWFV,4,Q104917076; Q104917077; Q104917078; Q104917079,AQTZWMJGAOIWFV-BXTJHSDWSA-N; AQTZWMJGAOIWFV-MDOVXXIYSA-N; AQTZWMJGAOIWFV-QEEYODRMSA-N; AQTZWMJGAOIWFV-UHFFFAOYSA-N
MGAFCXOXRHSKIA-GLDNMAPXSA-N,kaempferol 3-O-β-D-glucosyl-(1->2)-glucosyl-(1->2)-β-D-glucoside,2,MGAFCXOXRHSKIA,4,Q105163150; Q105163151; Q105163153; Q27114675,MGAFCXOXRHSKIA-MEBVLIOMSA-N; MGAFCXOXRHSKIA-UHFFFAOYSA-N; MGAFCXOXRHSKIA-VGTPANOWSA-N; MGAFCXOXRHSKIA-WYXVZEBFSA-N
MCKAJXMRULSUKI-FTYOSCRSSA-J,"D-myo-inositol (1,2) bisphosphate",2,MCKAJXMRULSUKI,4,Q115966006; Q27073747; Q27103929; Q27156703,MCKAJXMRULSUKI-CNWJWELYSA-J; MCKAJXMRULSUKI-CNWJWELYSA-N; MCKAJXMRULSUKI-UHFFFAOYSA-N; MCKAJXMRULSUKI-UZAAGFTCSA-N
ROQLTZUOXIQBDO-JZWLZXDTSA-L,"cyanidin 3-O-(6""-O-malonyl)-β-D-glucoside",1,ROQLTZUOXIQBDO,4,Q104396767; Q105242407; Q105242408; Q27114312,ROQLTZUOXIQBDO-GRAUSCIISA-O; ROQLTZUOXIQBDO-JZWLZXDTSA-O; ROQLTZUOXIQBDO-PGDPNNLMSA-O; ROQLTZUOXIQBDO-UHFFFAOYSA-O
QWQSMEDUZQDVLA-YPEFZSFTSA-N,(-)-arteannuin B,1,QWQSMEDUZQDVLA,4,Q104253369; Q105229345; Q105229346; Q72443819,QWQSMEDUZQDVLA-KPHNHPKPSA-N; QWQSMEDUZQDVLA-UHFFFAOYSA-N; QWQSMEDUZQDVLA-USPGQWGOSA-N; QWQSMEDUZQDVLA-ZRAAZYCQSA-N
QHMBSVQNZZTUGM-QZTJIDSGSA-N,cannabidiol,1,QHMBSVQNZZTUGM,4,Q105221017; Q105221018; Q422917; Q82566891,QHMBSVQNZZTUGM-MSOLQXFVSA-N; QHMBSVQNZZTUGM-UHFFFAOYSA-N; QHMBSVQNZZTUGM-ZENAZSQFSA-N; QHMBSVQNZZTUGM-ZWKOTPCHSA-N
XIMPCXFLDSKALH-GIELRJASSA-N,raucaffrinoline,1,XIMPCXFLDSKALH,4,Q105328587; Q105328588; Q110079283; Q15424782,XIMPCXFLDSKALH-AFXVYWMKSA-N; XIMPCXFLDSKALH-FXRWJBKJSA-N; XIMPCXFLDSKALH-UHFFFAOYSA-N; XIMPCXFLDSKALH-VQHWPEDHSA-N
WZRRJZYYGOOHRC-AXLMTQBOSA-M,gibberellin A₈,1,WZRRJZYYGOOHRC,4,Q105323427; Q105323428; Q27103931; Q27104842,WZRRJZYYGOOHRC-GACNJHSUSA-N; WZRRJZYYGOOHRC-UHFFFAOYSA-N; WZRRJZYYGOOHRC-UQJCXHNCSA-M; WZRRJZYYGOOHRC-UQJCXHNCSA-N
ZVKOASAVGLETCT-UOGKPENDSA-L,norbixin,1,ZVKOASAVGLETCT,4,Q105384352; Q105384353; Q1997371; Q27284028,ZVKOASAVGLETCT-LRRSNBNMSA-N; ZVKOASAVGLETCT-UHFFFAOYSA-N; ZVKOASAVGLETCT-UOAMSCJGSA-N; ZVKOASAVGLETCT-UOGKPENDSA-N
HPEUEJRPDGMIMY-IFQPEPLCSA-L,molybdopterin,1,HPEUEJRPDGMIMY,4,Q105109922; Q27125975; Q74516050; Q74548075,HPEUEJRPDGMIMY-IFQPEPLCSA-K; HPEUEJRPDGMIMY-IFQPEPLCSA-N; HPEUEJRPDGMIMY-UHFFFAOYSA-N
YODABPUZPVYDEF-CIBWSIAMSA-N,violdelphin,1,YODABPUZPVYDEF,4,Q105351248; Q105351249; Q110204032; Q7933112,YODABPUZPVYDEF-CIBWSIAMSA-O; YODABPUZPVYDEF-MAOZMNHPSA-O; YODABPUZPVYDEF-QVANIWJVSA-O; YODABPUZPVYDEF-UHFFFAOYSA-O
HTDHRCLVWUEXIS-GIHYWFGSSA-N,cis-zeatin-7-N-glucoside,1,HTDHRCLVWUEXIS,4,Q104667710; Q105033375; Q106040906; Q27149546,HTDHRCLVWUEXIS-HNVSNYHQSA-N; HTDHRCLVWUEXIS-MTQUCLQASA-N; HTDHRCLVWUEXIS-QEJLLAEFSA-N; HTDHRCLVWUEXIS-UHFFFAOYSA-N
HTDHRCLVWUEXIS-SBQJELAYSA-N,trans-zeatin-7-N-glucoside,1,HTDHRCLVWUEXIS,4,Q104667710; Q105033375; Q106040906; Q27149546,HTDHRCLVWUEXIS-HNVSNYHQSA-N; HTDHRCLVWUEXIS-MTQUCLQASA-N; HTDHRCLVWUEXIS-QEJLLAEFSA-N; HTDHRCLVWUEXIS-UHFFFAOYSA-N
IRILMCCKFANGJQ-BAJUWZQUSA-L,cis-zeatin riboside monophosphate,1,IRILMCCKFANGJQ,4,Q115946478; Q27139819; Q27149545; Q27159982,IRILMCCKFANGJQ-BAJUWZQUSA-N; IRILMCCKFANGJQ-HNNGNKQASA-L; IRILMCCKFANGJQ-HNNGNKQASA-N; IRILMCCKFANGJQ-SDBHATRESA-N
IUYFTHKQEWZTHY-QMVGNYJJSA-M,α-L-rhamnosylisoorientin,1,IUYFTHKQEWZTHY,4,Q105120916; Q115785087; Q27103790; Q27138543,IUYFTHKQEWZTHY-LQQQXCKLSA-N; IUYFTHKQEWZTHY-QMVGNYJJSA-N; IUYFTHKQEWZTHY-RCKQMBEZSA-N; IUYFTHKQEWZTHY-UHFFFAOYSA-N
PMKQSEYPLQIEAY-YWNRKNDBSA-L,phaselate,1,PMKQSEYPLQIEAY,4,Q105211547; Q18379746; Q27107654,PMKQSEYPLQIEAY-DUXPYHPUSA-N; PMKQSEYPLQIEAY-UHFFFAOYSA-N; PMKQSEYPLQIEAY-XCRNYIDWSA-N; PMKQSEYPLQIEAY-YWNRKNDBSA-N
