inchikey,label,n_pw,skeleton,skeleton_match_n,skeleton_match_qid,skeleton_match_ik
RFUSIIWQXWXIBP-UHFFFAOYSA-L,herbicide 14A,12,RFUSIIWQXWXIBP,0,,
XUZMIKFKZAUSGG-IVHWZWKWSA-N,4-(3-methylbutanoyl)sucrose,6,XUZMIKFKZAUSGG,0,,
BRKLOAHUJZWUQQ-QMMMGPOBSA-M,α-aminooxy-β-phenylpropanoate,5,BRKLOAHUJZWUQQ,0,,
BNTSBBGKFQEZMC-RCOSXJMQSA-N,3-(2-methylbutanoyl)-4-(3-methylbutanoyl)sucrose,5,BNTSBBGKFQEZMC,0,,
YUKHDORWTMHOFN-MAKMTIOGSA-N,"3-(2-methylbutanoyl)-3',4-di(3-methylbutanoyl)sucrose",5,YUKHDORWTMHOFN,0,,
WDHZXDLRQGPOGR-WGJSNZCWSA-N,des-acyl avenacin A,4,WDHZXDLRQGPOGR,0,,
WDFDPXMELFXBFU-UHFFFAOYSA-N,4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate,4,WDFDPXMELFXBFU,0,,
CKJPUEYKSFDFTJ-VVDGRPBXSA-N,furostanol-26-aldehyde,3,CKJPUEYKSFDFTJ,0,,
BKTKGBYTCNWOED-VVDGRPBXSA-O,26-amino-furostanol,3,BKTKGBYTCNWOED,0,,
ILXHRXMLJGQOQV-NTOMXLCZSA-N,"3-isobutanoyl-3',4-di(3-methylbutanoyl)sucrose",3,ILXHRXMLJGQOQV,0,,
ANYHHKFSRBHUQP-KDRVCDMJSA-N,3-dodecanoyl-4-(3-methylbutanoyl)sucrose,3,ANYHHKFSRBHUQP,0,,
ADCQBVGFARUXKA-CAHKLHCGSA-N,3-isobutanoyl-4-(3-methylbutanoyl)sucrose,3,ADCQBVGFARUXKA,0,,
QZMOYTNIBYYCJU-HJSAGUBHSA-N,"3-decanoyl-3',4-di(3-methylbutanoyl)sucrose",3,QZMOYTNIBYYCJU,0,,
PXAITRVCWWHJEA-VRYDHRQHSA-N,"2,4-di(3-methylbutanoyl)sucrose",3,PXAITRVCWWHJEA,0,,
HHNBHWPLXYYKCZ-VVDGRPBXSA-N,furostanol-26-alcohol,3,HHNBHWPLXYYKCZ,0,,
ORAJWSYKRGVTDP-UHFFFAOYSA-N,coniferyl alcohol radical,3,ORAJWSYKRGVTDP,0,,
LZPFFKBGBPBJAW-KHXRIMTESA-M,a jasmonoyl-L-valine,3,LZPFFKBGBPBJAW,0,,
DAWSJUFONOYCDF-HXHTVGELSA-M,cytochrome c,3,DAWSJUFONOYCDF,0,,
VFBOWGAHHRQZOX-FHNJTWRLSA-N,alamethicin,3,VFBOWGAHHRQZOX,0,,
HZYKVDFNYAKASX-XBKHNYQHSA-N,"3-dodecanoyl-3',4-di(3-methylbutanoyl)sucrose",3,HZYKVDFNYAKASX,0,,
YCACPQDCMKYMTN-QUXAAEGESA-N,3-decanoyl-4-(3-methylbutanoyl)sucrose,3,YCACPQDCMKYMTN,0,,
HTUXDQHGRVMWAC-MISYRCLQSA-N,palustradiene-diol,2,HTUXDQHGRVMWAC,0,,
DQDHUJRGSAIBJC-LREAXHOUSA-N,(R)-3-(phenyl)lactate glucoside,2,DQDHUJRGSAIBJC,0,,
JAWKUBAMNCEUTJ-IUCKADQYSA-N,"ergosta-8,25(27)-dienol",2,JAWKUBAMNCEUTJ,0,,
ARDBGAXJBHFKTL-QXNFOFCISA-N,"3-(2-methylbutanoyl)-3',4,6'-tri(3-methylbutanoyl)sucrose",2,ARDBGAXJBHFKTL,0,,
XMGLKJFHTRQJSD-UHFFFAOYSA-N,"3,6,7,2',4'-pentamethylquercetagetin",2,XMGLKJFHTRQJSD,0,,
SABRDYAPMPTIAT-FXCDUNLXSA-N,2-isobutanoyl-4-(3-methylbutanoyl)sucrose,2,SABRDYAPMPTIAT,0,,
GLHMEFATBWIJIR-YUOBEJEYSA-N,3'-dodecanoyl-3-(2-methylbutanoyl)-4-(3-methylbutanoyl)sucrose,2,GLHMEFATBWIJIR,0,,
IDPCCZAHFVRMNJ-UHFFFAOYSA-L,(indol-3-yl)-N-(sulfonatooxy)methanimidothioate,2,IDPCCZAHFVRMNJ,0,,
FGNDBYKOPHPOBA-UHFFFAOYSA-N,3-dimethylselenopropanal,2,FGNDBYKOPHPOBA,0,,
NQOXCBDTLUTPNO-OTFPUDJKSA-M,a jasmonoyl-glutamine,2,NQOXCBDTLUTPNO,0,,
KLMJJYDVWFCOQY-FTDMXLNHSA-N,TRIMBOA-β-D-glucoside,2,KLMJJYDVWFCOQY,0,,
IOLOYIOKSKTZEJ-JBZCSEOXSA-N,2-acetyl-3'-dodecanoyl-3-(2-methylbutanoyl)-4-(3-methylbutanoyl)sucrose,2,IOLOYIOKSKTZEJ,0,,
INIJHFWSVNHMDI-UHFFFAOYSA-N,2-descarboxy-cyclo-dopa,2,INIJHFWSVNHMDI,0,,
SBLFAGXVSMRMRX-MKMNVTDBSA-N,"1-(4-trifluormethyl)-2-(1,2,4-triazolyl-(1) )-3-(5-methyl-l,3-dioxan-5-yl)-propen-3-ol",2,SBLFAGXVSMRMRX,0,,
AVIGOTPVCIAGID-UHFFFAOYSA-N,"2'-hydroxy 3,6,7,3',4'-pentamethylquercetagetin",2,AVIGOTPVCIAGID,0,,
MZCCLBQMNVIBAW-RMGPQRKISA-N,neoabietadiene-diol,2,MZCCLBQMNVIBAW,0,,
LXPWRTKQCKTQNJ-HJMUTKFXSA-N,methylsalicylate 2-O-β-D-glucopyranosyl-(1-> 2)-[O-β-D-xylopyranosyl-(1-> 6)]-O-β-D-glucopyranoside,2,LXPWRTKQCKTQNJ,0,,
BBEFLKRIFVIFJA-JLHPCIOUSA-N,3-dodecanoyl-3'-isobutanoyl-4-(3-methylbutanoyl)sucrose,2,BBEFLKRIFVIFJA,0,,
JUMXNPKEKATCOD-UHFFFAOYSA-N,"2'-hydroxy 3,6,7,4'-tetramethylquercetagetin",2,JUMXNPKEKATCOD,0,,
JKYUARFXWFHBMT-UHFFFAOYSA-N,"2'-hydroxy 3,7,3',4'-tetramethylquercetin",2,JKYUARFXWFHBMT,0,,
AJLYPYKZKJKHKI-FPUYRSMXSA-N,HDM₂BOA-glucoside,2,AJLYPYKZKJKHKI,0,,
VGQUBGXRAQAKRE-UHFFFAOYSA-N,2-hydroxy-2-(1H-indol-3-yl)acetonitrile,2,VGQUBGXRAQAKRE,0,,
VYAFZESLHLWKCS-QBXHKHJLSA-L,celosianin I,2,VYAFZESLHLWKCS,0,,
GMNDCAIERWSPRH-UFZWJVBJSA-M,"4α-carboxy-ergosta-8,25(27)-dienol",2,GMNDCAIERWSPRH,0,,
VAXDGLVOSGCOMC-IPNZSQQUSA-N,dehydroabietadiene-diol,2,VAXDGLVOSGCOMC,0,,
UKPKCEDWXTYXKB-AEOXZHQRSA-N,isopimaradiene-diol,2,UKPKCEDWXTYXKB,0,,
DSXMYNCNZGDREU-YUOBEJEYSA-N,3-dodecanoyl-3'-(2-methylbutanoyl)-4-(3-methylbutanoyl)sucrose,2,DSXMYNCNZGDREU,0,,
JTIAMKZBSXQQDB-QAFHIVESSA-N,"2-acetyl-3-(2-methylbutanoyl)-3',4-di(3-methylbutanoyl)sucrose",2,JTIAMKZBSXQQDB,0,,
XDCGLMGQYMZCGQ-JXBHDTGASA-N,4-(isobutanoyl)sucrose,2,XDCGLMGQYMZCGQ,0,,
ZAOQZIXHXYWKEC-WQWWKYESSA-N,3'-acetyl-3-dodecanoyl-4-(3-methylbutanoyl)sucrose,2,ZAOQZIXHXYWKEC,0,,
JITCDRVJVQGRRF-UHFFFAOYSA-M,"3,6-dihydronicotinate",2,JITCDRVJVQGRRF,0,,
XMACHBCVXCCTCF-BKFTWGLRSA-N,"4α-methyl ergosta-8,14,25(27)-trienol",2,XMACHBCVXCCTCF,0,,
GVTPYCXGTFQZDT-YSSUGPPCSA-M,red chlorophyll catabolite,2,GVTPYCXGTFQZDT,0,,
AZDFNKCFWMIGBN-UHFFFAOYSA-M,"9,10-epoxy-12-oxododecanoate",2,AZDFNKCFWMIGBN,0,,
XYDQMRVDDPZFMM-UHFFFAOYSA-N,Ag²⁺,2,XYDQMRVDDPZFMM,0,,
VIPVRXUSPSUXNI-XDMMOTQBSA-N,3-dehydro-6-hydroxyteasterone,2,VIPVRXUSPSUXNI,0,,
KVBXTYVVYKUGIO-SOFGYWHQSA-M,9-hydroperoxytraumatin,2,KVBXTYVVYKUGIO,0,,
CHCABZDCRBQQCY-TZLKGKMXSA-N,des-methyl avenacin A-1,2,CHCABZDCRBQQCY,0,,
FHQCTCOXKBQXGN-AXDSSHIGSA-O,"3,6-dihydronicotine",2,FHQCTCOXKBQXGN,0,,
KKWBWWBKDSKQBN-POETZREFSA-N,"3,4-di(3-methylbutanoyl)sucrose",2,KKWBWWBKDSKQBN,0,,
PXXNMGZTESSBFJ-UFMHMSNJSA-N,"4α-methyl ergosta-8,25(27)-dienol",2,PXXNMGZTESSBFJ,0,,
QKZDOFMBLQQMTH-FSWVCPJQSA-N,4-decanoylsucrose,2,QKZDOFMBLQQMTH,0,,
YFTHUKVJRMGIEW-LFXIRSKSSA-N,4-dodecanoylsucrose,2,YFTHUKVJRMGIEW,0,,
DXKSESFYAWUSFS-FMUUPEMKSA-N,"2-acetyl-3-dodecanoyl-3',4-di(3-methylbutanoyl)sucrose",2,DXKSESFYAWUSFS,0,,
USEJNLPKVXGAOO-ALKRTJFJSA-L,γ-L-glutamyl-(S)-2-carboxypropyl-L-cysteine,2,USEJNLPKVXGAOO,0,,
NSLWGXNKAGTHTP-UHFFFAOYSA-N,"7,2'-dihydroxy-4',5'-methylenedioxyisoflav-3-ene",2,NSLWGXNKAGTHTP,0,,
AKWKWIHXNGCVIN-GWPJAQCUSA-N,"2-acetyl-3-isobutanoyl-3',4-di(3-methylbutanoyl)sucrose",2,AKWKWIHXNGCVIN,0,,
XANYTXLTBWWGAJ-QMPIUYLCSA-M,6-C-glucosyl-2-hydroxynaringenin,2,XANYTXLTBWWGAJ,0,,
MXMMKTLARUKBFV-RMGPQRKISA-N,levopiramadiene-diol,2,MXMMKTLARUKBFV,0,,
DBCGWLLKQUWQLH-UHFFFAOYSA-N,dimethylselenoniopropanoate,2,DBCGWLLKQUWQLH,0,,
QUBXBHWFQCVXQY-UHFFFAOYSA-N,DIBOA,2,QUBXBHWFQCVXQY,0,,
ASEZOCWGVPXCSF-WQQZHNEZSA-N,"2-acetyl-3-decanoyl-3',4-di(3-methylbutanoyl)sucrose",2,ASEZOCWGVPXCSF,0,,
ZDHABOVHCKZVCM-QANQYWCOSA-N,monodeglucosyl des-acyl avenacin A,2,ZDHABOVHCKZVCM,0,,
SWQMIWNGQFKYLI-VDVMQYDQSA-M,4β-carboxycyclolaudenol,2,SWQMIWNGQFKYLI,0,,
OQDQFFNROJYFCY-YGXGXSKESA-N,4-(2-methylbutanoyl)sucrose,2,OQDQFFNROJYFCY,0,,
BEZWFOOGYOXQPU-UHFFFAOYSA-O,dimethylselenopropanoate-amine,2,BEZWFOOGYOXQPU,0,,
YGZYUUFOXHFXGY-YONICNLVSA-M,pelargonidin 3-O-β-D-(4-coumaroyl)-sambubioside,1,YGZYUUFOXHFXGY,0,,
KOEJZCDRYVVSCX-LVSAPHKCSA-N,"4α-formyl-5α-cholesta-7,24-dien-3β-ol",1,KOEJZCDRYVVSCX,0,,
MAAWASALXHTIIA-UHFFFAOYSA-O,4-(1-methyl-5-hydroxy-2-pyrrolidinyl)-3-oxobutanoate methyl ester,1,MAAWASALXHTIIA,0,,
YGGQRUODYYKCTL-HENWMNBSSA-N,"4-amino-2,6-dinitrotoluene glucoside",1,YGGQRUODYYKCTL,0,,
LHHHZZHKUVLCJI-IINKENNYSA-N,"5α-cholesta-7,24-dien-3-one",1,LHHHZZHKUVLCJI,0,,
KXEJPZRMKAZJDD-APHCOPKYSA-N,isovitexin 7-O-xylosyl 2''-O-arabinoside,1,KXEJPZRMKAZJDD,0,,
MEHFFTKCQDPUMR-UHFFFAOYSA-N,"1,4,5-trihydroxy-6,7,8-trimethoxy-2-methylanthraquinone",1,MEHFFTKCQDPUMR,0,,
MGRHBGCZDYUXJH-UHFFFAOYSA-M,"1,7-dihydroxy-5,6,8-trimethoxyanthraquinone",1,MGRHBGCZDYUXJH,0,,
SLVDBDKSOJEDSU-UHFFFAOYSA-N,"1,4-dihydroxy-6,7,8-trimethoxy-2-methylanthraquinone",1,SLVDBDKSOJEDSU,0,,
TTYIMJVEUGPLAQ-DNRHUSGGSA-N,desaturated 7β-hydroxythalianol,1,TTYIMJVEUGPLAQ,0,,
UFRMHAWMOMVVFT-CDXBABSNSA-M,"3β,14β-dihydroxy-5β-pregnane-20-one-21-O-malonylhemiester",1,UFRMHAWMOMVVFT,0,,
QVBBGNGHCPNDTD-DJRAKMMLSA-M,lampranthin I,1,QVBBGNGHCPNDTD,0,,
MHXHMDGJUQYJOC-YBHYYHSUSA-K,4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoyl-CoA,1,MHXHMDGJUQYJOC,0,,
YBIKXELGQAEZAC-HENWMNBSSA-N,"4-hydroxylamino-2,6-dinitrotoluene-O-glucoside",1,YBIKXELGQAEZAC,0,,
QJVMEAZHJKXWJD-HESBYNJASA-N,"4α-methyl-5α-cholesta-8,14,24-trien-3β-ol",1,QJVMEAZHJKXWJD,0,,
XXJZWLKRFPCKLB-UHFFFAOYSA-L,3-carboxy-7-(methylsulfanyl)-2-oxoheptanoate,1,XXJZWLKRFPCKLB,0,,
PBZKZNBPDHJOIG-TWCGKSTOSA-N,isovitexin 2''-O-arabinosyl 7-O-galactoside,1,PBZKZNBPDHJOIG,0,,
XWWGSEVYUBTSFS-UHFFFAOYSA-N,1-(methylsulfanyl)-5-aci-nitropentane,1,XWWGSEVYUBTSFS,0,,
XAPBOCJASKMWEF-VJXVFPJBSA-M,"1-(3,4-dihydroxyphenyl)-3-(3-C-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione",1,XAPBOCJASKMWEF,0,,
XORQOFPOXJLPPB-CQYSPVIFSA-N,30-oxo-β-amyrin,1,XORQOFPOXJLPPB,0,,
XTSCLYCOOJHTTR-KTFRUSDTSA-J,(3R)-hydroxy-auricoloyl-CoA,1,XTSCLYCOOJHTTR,0,,
XYGWCKIPKQTOCL-UYLZDWGHSA-N,eugenol 2-O-β-D-glucopyranosyl-(1-> 2)-[O-β-D-xylopyranosyl-(1-> 6)]-O-β-D-glucopyranoside,1,XYGWCKIPKQTOCL,0,,
YBLHASCZKLAOQF-UHFFFAOYSA-N,24-alkyl sterol 2,1,YBLHASCZKLAOQF,0,,
YRJQNWAWJNIMPJ-GANPGUSSSA-M,a dolichyl β-D-glucosyl phosphate,1,YRJQNWAWJNIMPJ,0,,
YRJQNWAWJNIMPJ-NWNWEXASSA-M,a dolichyl β-D-mannosyl phosphate,1,YRJQNWAWJNIMPJ,0,,
YRUUGXZUKTWFST-HPIDHRFDSA-L,α-D-Man-a-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→6)]-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol,1,YRUUGXZUKTWFST,0,,
YXBOBEUNDFMUCP-UBNAOBJYSA-J,auricoloyl-CoA,1,YXBOBEUNDFMUCP,0,,
ZBKFYXZXZJPWNQ-UHFFFAOYSA-N,isothiocyanate,1,ZBKFYXZXZJPWNQ,0,,
ZOTUJOONTCAPII-UHFFFAOYSA-L,4-methoxy-3-indolylmethyl glucosinolate aglycone,1,ZOTUJOONTCAPII,0,,
JDRASYJDBQMJOH-NOMSFGAGSA-N,"3β,14β,21-trihydroxy-5β-pregnane-20-one",1,JDRASYJDBQMJOH,0,,
AAUAODOXPIIHAN-UHFFFAOYSA-M,2-(hydroxypropyl)phenylarsinate,1,AAUAODOXPIIHAN,0,,
VNYRSEASZNQGSH-HIVFMZMKSA-L,α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→3)-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol,1,VNYRSEASZNQGSH,0,,
VOBIUONKNAOEKQ-PAJMUHFPSA-L,α-D-Glc-(1→2)-α-D-Glc-(1→3)-α-D-Glc-(1→3)-α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→2)-α-D-Man-(1→6)]-α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol,1,VOBIUONKNAOEKQ,0,,
VRNUZAWFZDQEGN-DGYYCLGYSA-N,strictosamide ketolactam,1,VRNUZAWFZDQEGN,0,,
WFPHPSFEEKVIHM-DCZULFNESA-L,β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol,1,WFPHPSFEEKVIHM,0,,
WJEGHYZNKDEWFC-ZFWWWQNUSA-M,indol-3-ylmethylisothiocyanate-glutathione,1,WJEGHYZNKDEWFC,0,,
WLHWYWTVMPZGJG-UHFFFAOYSA-N,"1-phenyl-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione",1,WLHWYWTVMPZGJG,0,,
WMSWZXXUBKPOOZ-CZHKKLGASA-L,α-D-Man-(1→2)-α-D-Man-(1→2)-α-D-Man-(1→3)-[α-D-Man-(1→6)]-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol,1,WMSWZXXUBKPOOZ,0,,
WYPFKKHHBKZRFG-JTQLQIEISA-N,indol-3-ylmethylisothiocyanate-L-cysteine,1,WYPFKKHHBKZRFG,0,,
ZTJFEYPCTFISRM-VEZSZZSESA-L,α-D-Man-(1→3)-β-D-Man-(1→4)-β-D-GlcNAc-(1→4)-α-D-GlcNAc-diphosphodolichol,1,ZTJFEYPCTFISRM,0,,
AGWLCWWJARYSTD-MCTXPTQWSA-M,isovitexin 2''-O-arabinoside,1,AGWLCWWJARYSTD,0,,
AQEJBANJFDNKHW-UHFFFAOYSA-M,"1,6,7,8-tetrahydroxy-2-methylanthraquinone",1,AQEJBANJFDNKHW,0,,
FTXKHJXUVPWVQB-LVSAPHKCSA-N,"4α-hydroxymethyl-5α-cholesta-7,24-dien-3β-ol",1,FTXKHJXUVPWVQB,0,,
HCRUWIGJIZVCAW-UHFFFAOYSA-N,"1,6,8-trihydroxy-7-methoxy-2-methylanthraquinone",1,HCRUWIGJIZVCAW,0,,
HRDFMECHEGTUKJ-IPAHHHFASA-N,5'-demethoxy-6-methoxypodophyllotoxin 7-glucoside,1,HRDFMECHEGTUKJ,0,,
ISMXOVVYLAOVER-FPVIQYCMSA-K,1-methylpyrrolidine-2-acetyl-CoA,1,ISMXOVVYLAOVER,0,,
YOBCOUZBIFVTFN-UHFFFAOYSA-L,3-carboxy-8-(methylsulfanyl)-2-oxooctanoate,1,YOBCOUZBIFVTFN,0,,
AYZJFGWBKISWDK-UHFFFAOYSA-N,"3,7-dimethylmyricetin",1,AYZJFGWBKISWDK,0,,
BQXJLKVZTDDERJ-UHFFFAOYSA-N,(Z)-butanethial oxide,1,BQXJLKVZTDDERJ,0,,
BWHPOOZLIGPHHL-QPCSTCLVSA-M,"4α-carboxy-5α-cholesta-7,24-dien-3β-ol",1,BWHPOOZLIGPHHL,0,,
DQVJBPZRWJRGJO-UHFFFAOYSA-N,robustaquinone B,1,DQVJBPZRWJRGJO,0,,
CIUZTBJZAMUYJU-DXNRTYHRSA-N,"5β-pregnane-3β,14β-diol-20-one",1,CIUZTBJZAMUYJU,0,,
DNRVHCHSZDHKIM-UKSYTCCDSA-N,"4α,14α-dimethyl-9β,19-cyclo-5α-cholest-24-en-3-one",1,DNRVHCHSZDHKIM,0,,
XGYNOAIEFHWEHA-UHFFFAOYSA-O,4-(1-methyl-2-pyrrolidinyl)-3-oxobutanoate methyl ester,1,XGYNOAIEFHWEHA,0,,
HZKBHRZARZUXPO-JLBYXMBLSA-N,1-palmitoyl-2-vernoloyl-phosphatidylcholine,1,HZKBHRZARZUXPO,0,,
SXGAXOMQODZFEX-QUNQUYFKSA-N,4-O-methyl-DIBOA-glucoside,1,SXGAXOMQODZFEX,0,,
PXGJYJGHNZFNDH-NTSFPTSJSA-M,"oleanolate-3-beta-D-glucuronoside-(3,1)-galactoside-(4,1)-glucoside-28-glucoside",1,PXGJYJGHNZFNDH,0,,
PQZHEDVVKNTFII-DDSNRORXSA-N,"4-hydroxylamino-2,6-dinitrotoluene 3C-glucoside",1,PQZHEDVVKNTFII,0,,
IILCKSYIKQRGAO-UHFFFAOYSA-N,6-hydroxy-allocryptopine,1,IILCKSYIKQRGAO,0,,
RIZXEQIPLKUODL-SHHKXEFASA-N,23-hydroxymarneral,1,RIZXEQIPLKUODL,0,,
QMZGZQXNSUNJEY-CUVJYRNJSA-L,(3-hydroxy-2-oxindol-3-yl)acetyl-L-aspartate,1,QMZGZQXNSUNJEY,0,,
IPRXGGCUJGQBGA-FGMFUZAMSA-N,delphinidin 3-O-rutinoside-7-O-(6-O-(4-O-(glucosyl)-oxybenzoyl)-glucoside),1,IPRXGGCUJGQBGA,0,,
KZCTZQMFYMYSGR-UHFFFAOYSA-N,1-(methylsulfanyl)-4-aci-nitrobutane,1,KZCTZQMFYMYSGR,0,,
LMJXQDNIBLCFED-BXAVUDHBSA-N,delphinidin 3-O-rutinoside-7-O-(6-O-(p-hydroxybenzoyl)-glucoside),1,LMJXQDNIBLCFED,0,,
LOOVXQAHWKSBOP-RPORLEBXSA-N,(Z)-1-(L-cystein-S-yl)-N-hydroxy-ω-(methylsulfanyl)pentan-1-imine,1,LOOVXQAHWKSBOP,0,,
LQVHMKSGVVHSHF-DDSNRORXSA-N,"2-hydroxylamino-4,6-dinitrotoluene-C3-glucoside",1,LQVHMKSGVVHSHF,0,,
LYAYHRQWYQGYJH-AOFOMWIKSA-N,2-(6-oxo-1-oxaspiro[2.5]octa-4-glucosyl)-6-hydroxy-1-benzofuran-3-one,1,LYAYHRQWYQGYJH,0,,
MTNXHXKXYFWIRI-ZCFIWIBFSA-M,"3,5-didehydroshikimate",1,MTNXHXKXYFWIRI,0,,
PBYOKOGRHHZTHQ-UHFFFAOYSA-L,3-carboxy-9-(methylsulfanyl)-2-oxononanoate,1,PBYOKOGRHHZTHQ,0,,
JBMPKBPWGYJDNW-YONICNLVSA-N,pelargonidin 3-O-β-D-(caffeoyl)-sambubioside,1,JBMPKBPWGYJDNW,0,,
NDNXUPPJUCZTKB-KBXRYBNXSA-N,"1-phenyl-7-(3,4-dihydroxyphenyl)-hepta-1,3-dien-5-one",1,NDNXUPPJUCZTKB,0,,
NPIHSZVTLIVPAU-FFXKVATBSA-N,2-[hydroperoxy-(4-glucosyl-hydroxyphenyl)methyl]-6-hydroxy-1-benzofuran-3-one,1,NPIHSZVTLIVPAU,0,,
FPILONYMVKSPJW-UHFFFAOYSA-L,2-[2-(methylsulfanyl)ethyl]-3-oxobutanedioate,1,FPILONYMVKSPJW,0,,
MDJSEODEPHDJBE-XZDDVQLQSA-M,brassinolide 22-O-sulfate,1,MDJSEODEPHDJBE,0,,
VWTJGLYGEBYALH-LNLYLEBQSA-N,"2α, 7β-dihydroxytaxusin",1,VWTJGLYGEBYALH,0,,
ZRTICYFZXFUPAO-UHFFFAOYSA-N,"1,6,7-trihydroxy-2-methylanthraquinone",1,ZRTICYFZXFUPAO,0,,
XXQBOYIMJVUYPA-UHFFFAOYSA-M,"1,5,7-trihydroxy-6,8-dimethoxyanthraquinone",1,XXQBOYIMJVUYPA,0,,
XXYQDXFKXSZMJO-AVCSPELISA-N,7β-hydroxythalianol,1,XXYQDXFKXSZMJO,0,,
ZSUQPNCHNPWHAQ-UHFFFAOYSA-N,"1,7,8-trihydroxy-6-methoxy-2-methylanthraquinone",1,ZSUQPNCHNPWHAQ,0,,
ZUQSVRNKVXVUEP-DWRDGJJXSA-N,"(20,21)-dihydro-20-hydroxydigitoxigenin",1,ZUQSVRNKVXVUEP,0,,
WRGKTDWHJSBCJR-UHFFFAOYSA-L,3-carboxy-6-(methylsulfanyl)-2-oxohexanoate,1,WRGKTDWHJSBCJR,0,,
BEBZGOSIJCIAKQ-RXMQYKEDSA-N,(2R)-4-(dimethylsulfaniumyl)-2-hydroxybutanoate,1,BEBZGOSIJCIAKQ,0,,
WNOROHFPPLKOAH-UHFFFAOYSA-N,2-[hydroperoxy(4-hydroxyphenyl)methyl]-6-hydroxy-1-benzofuran-3-one,1,WNOROHFPPLKOAH,0,,
WMXFTQYMJYZSGZ-GWBHEEHPSA-N,(+)-sesaminol 2-O-β-D-gentiotrioside,1,WMXFTQYMJYZSGZ,0,,
CJJCDFKNRQRNMW-UHFFFAOYSA-N,β-fenchene,1,CJJCDFKNRQRNMW,0,,
UKHZBTWECWUVPH-UHFFFAOYSA-L,3-carboxy-10-(methylsulfanyl)-2-oxodecanoate,1,UKHZBTWECWUVPH,0,,
UDHXDZYDFAVOEH-UHFFFAOYSA-N,(Z)-ω-(methylsulfanyl)pentyl-thiohydroximate,1,UDHXDZYDFAVOEH,0,,
TYTGARXNZIJWFO-UHFFFAOYSA-N,"6-hydroxy-2-(6-oxo-1-oxaspiro[2.5]octa-4,7-dien-2-yl)-1-benzofuran-3-one",1,TYTGARXNZIJWFO,0,,
CMGFICSLNOXZET-HENWMNBSSA-N,"2-amino-4,6-dinitrotoluene glucoside",1,CMGFICSLNOXZET,0,,
TWTOAJJIAAIGHT-AFAGGVQESA-M,delphinidin 3-O-β-D-sambubioside,1,TWTOAJJIAAIGHT,0,,
SGMAIFOCTCLBCB-UHFFFAOYSA-N,β-fenchocamphorone,1,SGMAIFOCTCLBCB,0,,
SCJZVZRWMAAWIK-IMWBZJKQSA-N,2α-hydroxytaxusin,1,SCJZVZRWMAAWIK,0,,
FDHKZWGRIMCNIS-HENWMNBSSA-N,"2-hydroxylamino-4,6-dinitrotoluene-O-glucoside",1,FDHKZWGRIMCNIS,0,,
WUBRWXCVIPHXLX-DQBULIGTSA-M,carlactone carboxylate,1,WUBRWXCVIPHXLX,0,,
ANAVISFXAGVRIA-VSHICFTDSA-L,3-(O-β-glucosyl)-(2-oxindol-3-yl)acetyl-L-aspartate,1,ANAVISFXAGVRIA,0,,
UVOXSNFRLNPJEB-YIHJJGCDSA-N,6-hydroxy-2-[(4-glucosyl-hydroxyphenyl)methyl]-1-benzofuran-3-one,1,UVOXSNFRLNPJEB,0,,
UIRCARMQMYTLGE-UHFFFAOYSA-M,"1-(3,4-dihydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione",1,UIRCARMQMYTLGE,0,,
VBNWAWCGTCKMJY-VOTSOKGWSA-N,24-alkyl sterol 1,1,VBNWAWCGTCKMJY,0,,
GHMAEIIKOBMFLV-UHFFFAOYSA-N,4-hydroxy-2-oxobutyrolactone,1,GHMAEIIKOBMFLV,0,,
FONFCQIMWXVKJQ-UHFFFAOYSA-N,2-hydroxyliquiritigenin,1,FONFCQIMWXVKJQ,0,,
HDEIGSIJUBUHSO-UHFFFAOYSA-L,phenyl-N-(sulfonatooxy)methanimidothioate,1,HDEIGSIJUBUHSO,0,,
IBYIKDCSISCFLZ-JCLQIIOJSA-N,"(2E,10E,14E,18E)-lycopatetraene",1,IBYIKDCSISCFLZ,0,,
IHJHVEOMJHXPKL-ORWZVCRDSA-N,curcumin 4'-O-β-D-gentiobioside,1,IHJHVEOMJHXPKL,0,,
