"type","n"
"http://vocabularies.wikipathways.org/wp#Interaction","55545"
"http://vocabularies.wikipathways.org/wp#DirectedInteraction","45713"
"http://vocabularies.wikipathways.org/wp#Conversion","19888"
"http://vocabularies.wikipathways.org/wp#Catalysis","13257"
"http://vocabularies.wikipathways.org/wp#TranscriptionTranslation","8200"
"http://vocabularies.wikipathways.org/wp#Inhibition","3486"
"http://vocabularies.wikipathways.org/wp#Stimulation","865"
"http://vocabularies.wikipathways.org/wp#ComplexBinding","59"
"http://vocabularies.wikipathways.org/wp#Binding","59"
