"species","pathways","genes","enzymes","metabolites","conversions","interactions","publications"
"Curcuma longa","3","25","26","33","39","118","37"
"Taxus cuspidata","3","4","7","37","65","116","16"
"Lycopersicon hirsutum","3","8","14","29","37","81","17"
"Gentiana triflora","3","11","14","28","46","128","27"
"Astragalus bisulcatus","3","10","13","47","73","153","45"
"Galium mollugo","3","23","28","35","69","200","30"
"Camellia ptilophylla","3","7","9","18","26","58","11"
"Eustoma grandiflorum","3","114","133","88","162","656","98"
"Silene dioica","3","15","18","47","55","221","19"
"Celosia cristata","3","7","10","51","92","192","29"
"Limnanthes alba","3","12","12","30","68","146","31"
"Brassica rapa","3","46","95","83","95","466","76"
"Clitoria ternatea","3","8","11","24","34","89","17"
"Salvia officinalis","3","9","12","21","22","59","26"
"Podophyllum peltatum","3","3","10","36","47","102","36"
"Pinus strobus","3","29","41","30","29","125","38"
"Thermotoga maritima","3","3","9","35","31","78","34"
"Gossypium arboreum","3","20","28","53","59","161","22"
"Limonium latifolium","3","2","3","20","27","49","17"
"Citrus sinensis","3","39","45","46","52","172","51"
"Haloferax volcanii","3","7","10","21","18","57","23"
"Hyoscyamus albus","3","17","20","51","85","241","32"
"Juglans regia","3","5","6","30","29","63","19"
"Hypericum perforatum","3","4","6","35","44","88","26"
"Populus","3","43","44","31","31","141","49"
"Mentha spicata","3","25","26","25","52","205","24"
"Pogostemon cablin","3","16","18","23","43","107","16"
"Scutellaria baicalensis","3","4","7","19","24","54","23"
"Berberis Wilsoniae","3","13","16","32","32","161","19"
"Lavandula angustifolia","3","22","26","15","12","108","24"
"Aloe arborescens","3","1","2","20","28","42","26"
"Populus deltoides","3","33","40","30","34","155","19"
"Rhodobacter capsulatus","3","17","19","38","48","109","33"
"Fragaria x ananassa","3","37","40","25","24","110","22"
"Linum nodiflorum","3","1","6","33","29","75","32"
"Linum flavum","3","1","6","33","29","75","32"
"Sinopodophyllum hexandrum","3","8","8","18","29","65","9"
"Coix lacryma-jobi","3","12","13","28","61","145","22"
"Triglochin maritima","3","3","5","20","25","53","27"
"Phaseolus lunatus","3","62","63","28","30","219","29"
"Arabidopsis lyrata","3","26","38","92","99","272","57"
"Adonis aestivalis","3","7","7","21","60","157","35"
"Anchusa officinalis","3","19","25","47","68","294","45"
"Zingiber officinale","3","22","21","15","19","74","26"
"Gossypium hirsutum","3","19","25","45","50","131","49"
"Rubia tinctorum","3","8","12","21","32","88","11"
"Foeniculum vulgare","3","3","8","22","24","51","11"
"Enterococcus faecalis","2","16","22","30","36","93","26"
"Bixa orellana","2","8","8","31","34","74","15"
"Calendula officinalis","2","2","3","23","24","46","8"
"Taxus brevifolia","2","31","37","58","80","212","42"
"Solanum aculeatissimum","2","14","15","47","67","158","47"
"Robinia pseudoacacia","2","5","14","20","21","60","29"
"Actinidia chinensis","2","7","11","37","31","72","21"
"Mesembryanthemum crystallinum","2","18","20","37","40","161","31"
"Melilotus albus","2","25","30","22","15","86","16"
"Sesamum indicum","2","7","8","27","30","76","18"
"Equisetum arvense","2","33","40","34","46","175","75"
"Oxybasis rubra","2","7","10","51","74","148","29"
"Sesamum radiatum","2","7","8","27","30","76","18"
"Populus alba","2","13","16","30","46","113","35"
"Anthriscus sylvestris","2","4","5","14","18","36","18"
"Simmondsia chinensis","2","6","6","14","10","30","17"
"Antirrhinum majus","2","4","6","31","30","75","14"
"Apium graveolens","2","5","10","21","16","56","6"
"Brassica nigra","2","37","76","65","86","528","59"
"Bos taurus","2","22","26","32","40","123","35"
"Solanum melongena","2","14","15","47","67","158","47"
"Coreopsis grandiflora","2","2","5","28","32","93","9"
"Ruta graveolens","2","24","25","27","21","84","34"
"Cucurbita pepo","2","27","38","53","45","177","30"
"Camellia irrawadiensis","2","7","9","18","20","50","11"
"Mycoplasmoides pneumoniae","2","2","3","18","9","28","22"
"Stevia rebaudiana","2","5","5","17","39","76","27"
"Canavalia lineata","2","0","3","23","17","33","6"
"Amorpha fruticosa","2","0","1","21","25","42","9"
"Canavalia ensiformis","2","0","3","23","17","33","6"
"Capsicum chinense","2","29","33","30","33","125","36"
"Gemmata sp. Wa1-1","2","7","10","26","39","100","20"
"Quercus rubra","2","1","15","30","42","107","14"
"Nepenthes rafflesiana","2","3","3","10","12","31","18"
"Methylorubrum extorquens","2","3","4","33","45","76","17"
"Adiantum capillus-veneris","2","8","8","6","5","23","8"
"Beta vulgaris","2","3","4","13","7","20","16"
"Linum perenne","2","2","5","20","29","51","7"
"Rosa chinensis","2","7","7","10","15","40","8"
"Xanthomonas axonopodis","2","7","10","26","39","100","20"
"Nepenthes alata","2","3","3","10","12","31","18"
"Polaribacter filamentus","2","7","10","26","39","100","20"
"Sesbania rostrata","2","143","165","94","143","657","120"
"Cytophaga hutchinsonii","2","7","10","26","39","100","20"
"Gossypium barbadense","2","4","5","36","35","75","13"
"Euphorbia lagascae","2","3","4","7","6","18","5"
"Populus trichocarpa x Populus deltoides","2","14","17","28","33","84","31"
"Saccharum officinarum","2","3","6","21","16","39","21"
"Hypericum calycinum","2","7","12","36","39","90","25"
"Lens culinaris","2","11","15","28","15","91","20"
"Fragaria","2","32","37","27","32","148","12"
"Theobroma cacao","2","20","22","16","16","69","21"
"Streptomyces antibioticus","2","7","10","26","39","100","20"
"Gardenia jasminoides","2","1","1","21","27","43","8"
"Xanthomonas arboricola","2","7","10","26","39","100","20"
"Actinomycetota","2","7","10","26","39","100","20"
"Bacillus anthracis","2","6","7","19","34","77","13"
"Cereibacter sphaeroides","2","6","7","36","46","82","21"
"Pinus densiflora","2","1","10","22","24","49","35"
"Vibrio cholerae","2","12","16","48","38","106","36"
"Clostridium kluyveri","2","4","5","29","41","69","18"
"Anemone leveillei","2","2","2","24","32","58","6"
"Solidago canadensis","2","22","23","19","37","142","19"
"Populus nigra","2","4","4","27","36","67","13"
"Lactuca sativa","2","13","15","17","28","85","15"
"Glebionis segetum","2","51","61","39","36","211","27"
"Helianthus annuus","2","13","15","16","39","96","17"
"Astragalus","2","6","9","30","28","63","36"
"Desmodium uncinatum","2","14","14","26","35","88","11"
"Sanguinaria canadensis","2","19","29","55","71","232","31"
"Flaveria bidentis","2","112","130","83","156","623","78"
"Anisodus acutangulus","2","17","20","51","77","203","28"
"Narcissus pseudonarcissus","2","7","7","12","16","48","30"
"Digitalis lanata","2","3","8","40","76","122","10"
"Stellaria media","2","9","13","19","20","93","13"
"Vicia sativa","2","7","11","19","10","42","21"
"Pantoea ananatis","2","7","7","12","16","48","30"
"Rubus idaeus","2","6","10","14","13","42","25"
"Panax notoginseng","2","31","32","31","56","147","35"
"Coffea canephora","2","40","45","32","32","158","42"
"Mirabilis jalapa","2","7","10","51","83","175","29"
"Aphelandra squarrosa","2","12","12","20","23","59","22"
"Methanothermobacter marburgensis","2","18","22","12","6","64","22"
"Setaria italica","2","11","20","31","25","82","20"
"Asclepias syriaca","2","4","4","10","22","41","9"
"Daphne odora","2","8","12","16","16","48","7"
"Sinningia cardinalis","2","4","6","21","22","61","13"
"Digitalis","2","3","8","40","76","122","10"
"Phaseolus coccineus","2","30","30","29","65","228","32"
"Carpobrotus acinaciformis","2","7","10","51","73","144","30"
"Corydalis vaginans","2","19","29","55","71","232","31"
