"species","pathways","genes","enzymes","metabolites","conversions","interactions","publications"
"Acer pseudoplatanus","1","1","1","8","5","11","4"
"Malus sp.","1","2","3","12","9","20","5"
"Plumbago europaea","1","1","1","11","6","12","4"
"Rhodiola sachalinensis","1","14","14","15","12","46","11"
"Thalictrum tuberosum","1","10","12","33","26","88","36"
"Trifolium repens","1","6","7","14","19","49","6"
"Haematococcus lacustris","1","5","5","15","30","75","22"
"Saussurea medusa","1","4","6","17","11","32","8"
"Mycolicibacterium fortuitum","1","8","11","17","15","42","10"
"Megathyrsus maximus","1","29","38","21","35","130","38"
"Capsicum","1","11","13","27","19","60","17"
"Nepenthes gracilis","1","3","3","3","1","8","6"
"Anethum foeniculum","1","2","4","12","8","20","3"
"Magnolia obovata","1","1","1","6","6","12","7"
"Berberis","1","3","4","13","5","25","8"
"Wachendorfia thyrsiflora","1","2","2","17","16","26","11"
"Thalictrum bulgaricum","1","13","22","43","47","138","16"
"Fluviicola taffensis","1","7","7","2","1","15","8"
"Pimpinella","1","2","4","17","12","28","4"
"Punica granatum","1","2","2","5","3","11","2"
"Spartina","1","3","3","17","13","25","15"
"Dalbergia cochinchinensis","1","1","1","4","3","6","3"
"Mycobacterium avium complex (MAC)","1","8","11","17","15","42","10"
"Persea americana","1","9","10","9","9","34","7"
"Vigna unguiculata","1","6","10","17","13","45","11"
"Guatteria hispida","1","1","1","6","6","12","7"
"Acetobacter","1","7","9","8","6","26","16"
"Hyphomicrobium zavarzinii","1","1","1","13","9","19","9"
"Petiveria alliacea","1","2","2","11","9","15","8"
"Vernicia fordii","1","3","3","5","3","12","2"
"Zymomonas mobilis","1","7","9","8","6","26","16"
"Datura inoxia","1","11","13","33","40","87","10"
"Nannocystis exedens","1","10","10","10","8","38","16"
"Carapichea ipecacuanha","1","5","6","20","21","48","4"
"Caryophyllales","1","2","2","7","5","13","7"
"Chlorophyta","1","15","17","25","27","82","26"
"Urochloa panicoides","1","29","38","21","35","130","38"
"Momordica charantia","1","3","3","5","3","12","2"
"Methyloceanibacter caenitepidi","1","7","7","2","1","15","8"
"Alangium lamarckii","1","5","6","20","21","48","4"
"Corallococcus coralloides","1","7","7","2","1","15","8"
"Lepidium sativum","1","1","1","10","10","14","2"
"Nepenthes mirabilis","1","3","3","3","1","8","6"
"Guatteria blepharophylla","1","1","1","6","6","12","7"
"Phragmites australis","1","8","9","22","25","62","24"
"Eucalyptus piperita","1","1","1","6","6","12","7"
"Caryophyllaceae","1","2","2","10","8","15","8"
"Cystobacter fuscus","1","7","7","2","1","15","8"
"Salvia fruticosa","1","9","9","13","15","41","14"
"Pyrus pyrifolia","1","8","11","12","7","40","11"
"Adonis annua","1","5","5","15","30","75","22"
"Coriandrum sativum","1","1","2","8","19","33","2"
"Vaccinium myrtillus","1","3","3","11","8","17","16"
"Mycolicibacterium phlei","1","8","11","17","15","42","10"
"Dicranum scoparium","1","3","3","9","12","34","5"
"Schizosaccharomyces pombe","1","7","9","8","6","26","16"
"Berberis beaniana","1","12","14","30","11","73","17"
"Santalum spicatum","1","10","14","6","8","40","10"
"Streptococcus pneumoniae","1","1","2","8","3","12","7"
"Pimpinella anisum","1","2","4","12","8","20","3"
"Santalum austrocaledonicum","1","10","14","6","8","40","10"
"Malus hupehensis","1","2","3","12","9","20","5"
"Euonymus alatus","1","1","4","18","12","35","10"
"Bruguiera gymnorhiza","1","29","29","7","6","79","21"
"Hydrangea macrophylla","1","5","8","11","11","32","22"
"Atractylodes lancea","1","1","1","6","6","12","7"
"Rhizophora apiculata","1","29","29","7","6","79","21"
"Rhizophoraceae","1","29","29","7","6","79","21"
"Streptomyces griseus","1","1","1","9","5","10","13"
"Phlebodium aureum","1","3","5","15","4","22","11"
"Rhizophora mangle","1","29","29","7","6","79","21"
"Rheum tataricum","1","5","8","11","11","32","22"
"Anigozanthos preissii","1","2","2","17","16","26","11"
"Glycyrrhiza uralensis","1","35","37","14","33","148","24"
"Mycobacterium kansasii","1","8","11","17","15","42","10"
"Dryopteris crassirhizoma","1","1","1","2","1","3","2"
"Hedychium","1","1","1","6","6","12","7"
"Hyoscyamus muticus","1","2","2","15","22","39","7"
"Capsicum frutescens","1","11","13","27","19","60","17"
"Clostridium botulinum","1","7","9","8","6","26","16"
"Archaeoglobus fulgidus","1","5","7","8","4","22","8"
"Salvia rosmarinus","1","9","9","13","15","41","14"
"Guatteria friesiana","1","1","1","6","6","12","7"
"Methylosphaera hansonii","1","10","10","10","8","38","16"
"Diospyros kaki","1","2","6","17","17","36","12"
"Rhodiola rosea","1","14","14","15","12","46","11"
"Methylococcus capsulatus","1","10","10","10","8","38","16"
"Pseudomonas fluorescens","1","1","1","9","5","10","13"
"Camellia taliensis","1","7","9","11","11","37","9"
"Astragalus mongholicus","1","1","1","5","3","6","15"
"Aspergillus niger","1","7","9","8","6","26","16"
"Lathyrus tingitanus","1","0","1","8","5","8","2"
"Cestrum elegans","1","0","3","15","9","20","2"
"Tanacetum vulgare","1","0","3","9","6","11","9"
"Albizia julibrissin","1","0","1","10","6","24","2"
"Pelargonium crispum","1","0","3","12","11","18","9"
"Fagopyrum tataricum","1","0","6","9","6","23","6"
"Rosa","1","0","1","7","5","8","4"
"Tanacetum balsamita","1","0","3","9","6","11","9"
"Blighia sapida","1","0","2","29","25","36","10"
"Fagus crenata","1","0","1","10","6","24","2"
"Lathyrus odoratus","1","0","1","10","6","24","2"
"Paul's Scarlet Climber Rose","1","0","3","12","11","18","9"
"Aquifex aeolicus","1","0","3","19","21","39","11"
"Felis catus","1","0","0","11","9","12","15"
"Passiflora edulis","1","0","0","11","9","12","15"
"Erythroxylum coca","1","0","0","20","19","28","4"
"Dolichandra unguis-cati","1","0","0","8","16","23","5"
"Lawsonia inermis","1","0","0","2","1","1","0"
